Ir. szám	Név	Megyekód	Járás	KSH kód	Jogállás	Terület	Népesség	Lakások
2065	Mány	FE	Bicskei	23490	6	4472	2432	888
2066	Szár	FE	Bicskei	19549	6	2263	1706	610
2066	Újbarok	FE	Bicskei	17482	6	149	460	199
2067	Szárliget	KE	Tatabányai	33491	6	1456	2356	890
2071	Páty	PE	Budakeszi	15024	6	3932	8476	2928
2072	Zsámbék	PE	Budakeszi	25034	4	3366	5786	1943
2073	Tök	PE	Budakeszi	24527	6	2474	1470	488
2074	Perbál	PE	Budakeszi	28185	6	2565	2122	729
2080	Pilisjászfalu	PE	Pilisvörösvári	34148	6	697	1968	716
2081	Piliscsaba	PE	Pilisvörösvári	07144	4	2557	8612	3043
2083	Solymár	PE	Pilisvörösvári	07384	5	1786	11005	4015
2084	Pilisszentiván	PE	Pilisvörösvári	11396	6	812	4279	1625
2085	Pilisvörösvár	PE	Pilisvörösvári	14340	4	2430	14428	5262
2086	Tinnye	PE	Pilisvörösvári	07108	6	1614	1898	729
2089	Telki	PE	Budakeszi	08280	6	1047	4478	1511
2090	Remeteszőlős	PE	Budakeszi	34315	6	289	1022	452
2091	Etyek	FE	Bicskei	02316	5	5327	4460	1675
2092	Budakeszi	PE	Budakeszi	12052	4	3710	15473	6035
2093	Budajenő	PE	Budakeszi	03407	6	1242	2403	803
2094	Nagykovácsi	PE	Budakeszi	09991	5	2767	8789	3060
2095	Pilisszántó	PE	Pilisvörösvári	05290	6	1596	2688	1518
2096	Üröm	PE	Pilisvörösvári	11934	6	666	8260	3079
2097	Pilisborosjenő	PE	Pilisvörösvári	29601	6	927	4293	1572
2098	Pilisszentkereszt	PE	Szentendrei	18731	6	1721	2181	855
2100	Gödöllő	PE	Gödöllői	32559	4	6193	32688	13604
2111	Szada	PE	Gödöllői	21458	5	1671	6348	2143
2112	Veresegyház	PE	Gödöllői	18342	4	2868	20783	7794
2113	Erdőkertes	PE	Gödöllői	13480	6	575	9564	3426
2114	Valkó	PE	Gödöllői	17598	5	3759	2519	869
2115	Vácszentlászló	PE	Gödöllői	09104	6	2987	2176	792
2116	Zsámbok	PE	Gödöllői	22035	6	2335	2353	996
2117	Isaszeg	PE	Gödöllői	07807	4	5484	11645	4090
2118	Dány	PE	Gödöllői	18397	6	4301	4499	1596
2119	Pécel	PE	Gödöllői	04057	4	4363	17331	5995
2120	Dunakeszi	PE	Dunakeszi	18616	4	3106	43061	18561
2131	Göd	PE	Dunakeszi	23649	4	2444	21992	8118
2133	Sződliget	PE	Váci	28866	5	731	4825	1680
2134	Sződ	PE	Váci	12690	6	1354	3482	1114
2135	Csörög	PE	Váci	34333	6	505	1943	747
2141	Csömör	PE	Gödöllői	22804	5	2271	10215	3634
2142	Nagytarcsa	PE	Gödöllői	23409	6	1214	6323	2364
2143	Kistarcsa	PE	Gödöllői	34157	4	1102	13606	5053
2144	Kerepes	PE	Gödöllői	34166	4	2425	11066	4086
2146	Mogyoród	PE	Gödöllői	17783	5	3449	7974	3136
2151	Fót	PE	Dunakeszi	32610	4	3740	20975	7726
2161	Csomád	PE	Dunakeszi	33118	6	1238	1802	677
2162	Őrbottyán	PE	Váci	08545	4	2738	8203	3004
2163	Vácrátót	PE	Váci	17668	6	1809	2324	850
2164	Váchartyán	PE	Váci	19886	6	1211	1766	678
2165	Kisnémedi	PE	Váci	05227	6	1386	704	294
2166	Püspökszilágy	PE	Váci	04303	6	2530	739	308
2167	Vácduka	PE	Váci	05917	6	840	1770	577
2170	Aszód	PE	Aszódi	16188	4	1620	6116	2629
2173	Kartal	PE	Aszódi	30696	5	2913	5984	2043
2174	Verseg	PE	Aszódi	22488	6	2957	1275	513
2175	Kálló	NO	Pásztói	08642	6	3697	1698	515
2176	Erdőkürt	NO	Pásztói	22655	6	2172	486	266
2177	Erdőtarcsa	NO	Pásztói	21795	6	1507	507	230
2181	Iklad	PE	Aszódi	03300	6	1121	1993	686
2182	Domony	PE	Aszódi	04808	6	2180	2181	877
2183	Galgamácsa	PE	Aszódi	27128	6	4331	1830	743
2184	Vácegres	PE	Aszódi	30331	6	1367	891	302
2185	Váckisújfalu	PE	Váci	05698	6	1070	488	173
2191	Bag	PE	Aszódi	09131	5	2355	3718	1339
2192	Hévízgyörk	PE	Aszódi	13949	6	2285	3330	1204
2193	Galgahévíz	PE	Aszódi	19503	6	3118	2496	1009
2194	Tura	PE	Aszódi	09593	4	5592	7735	3000
2200	Monor	PE	Monori	10551	4	4679	19020	6950
2209	Péteri	PE	Monori	21847	6	1189	2644	942
2211	Vasad	PE	Monori	22585	6	3341	1989	784
2212	Csévharaszt	PE	Monori	18476	6	4923	2097	757
2213	Monorierdő	PE	Monori	34397	6	1507	5075	1878
2214	Pánd	PE	Monori	22248	6	2221	1953	713
2215	Káva	PE	Monori	27827	6	1131	625	298
2216	Bénye	PE	Monori	25098	6	1652	1201	515
2217	Gomba	PE	Monori	09441	6	3971	3155	1231
2220	Vecsés	PE	Vecsési	26815	4	3617	21352	8445
2225	Üllő	PE	Vecsési	12894	4	4810	12611	4650
2230	Gyömrő	PE	Monori	29735	4	2651	20216	7173
2233	Ecser	PE	Vecsési	24518	5	1310	4114	1653
2234	Maglód	PE	Vecsési	10922	4	2238	12412	4428
2235	Mende	PE	Nagykátai	03692	6	2715	4127	1509
2241	Sülysáp	PE	Nagykátai	21713	4	4719	8501	3146
2243	Kóka	PE	Nagykátai	31361	6	4436	4419	1841
2244	Úri	PE	Nagykátai	28644	6	2219	2552	986
2251	Tápiószecső	PE	Nagykátai	31796	5	3838	6171	2400
2252	Tóalmás	PE	Nagykátai	21467	6	3940	3990	1639
2253	Tápióság	PE	Nagykátai	09405	6	3354	2716	1148
2254	Szentmártonkáta	PE	Nagykátai	28653	5	5218	4883	1999
2255	Szentlőrinckáta	PE	Nagykátai	07542	6	2015	1904	834
2300	Ráckeve	PE	Ráckevei	17260	4	6409	11043	4647
2309	Lórév	PE	Ráckevei	09140	6	988	324	123
2310	Szigetszentmiklós	PE	Szigetszentmiklósi	28954	4	4565	39954	16580
2314	Halásztelek	PE	Szigetszentmiklósi	09690	4	864	11896	4542
2315	Szigethalom	PE	Szigetszentmiklósi	13277	4	912	18286	6611
2316	Tököl	PE	Szigetszentmiklósi	29823	4	3849	11332	4172
2317	Szigetcsép	PE	Ráckevei	07870	6	1820	2740	1102
2318	Szigetszentmárton	PE	Ráckevei	15185	6	1073	2579	1303
2319	Szigetújfalu	PE	Ráckevei	22114	6	1083	2183	924
2321	Szigetbecse	PE	Ráckevei	26259	6	1712	1379	628
2322	Makád	PE	Ráckevei	04394	6	3177	1230	579
2330	Dunaharaszti	PE	Szigetszentmiklósi	09584	4	2917	23637	9067
2335	Taksony	PE	Szigetszentmiklósi	30720	5	2085	6842	2530
2336	Dunavarsány	PE	Szigetszentmiklósi	20534	4	2252	8799	3307
2337	Délegyháza	PE	Szigetszentmiklósi	09973	6	2560	5812	2246
2338	Áporka	PE	Ráckevei	10108	6	1747	1253	523
2339	Majosháza	PE	Szigetszentmiklósi	10755	6	1142	1715	707
2340	Kiskunlacháza	PE	Ráckevei	10816	4	9405	9090	3730
2344	Dömsöd	PE	Ráckevei	29647	5	7242	6074	2657
2345	Apaj	PE	Ráckevei	33561	6	7104	1087	428
2347	Bugyi	PE	Dabasi	32027	5	11537	5265	2205
2351	Alsónémedi	PE	Gyáli	23199	5	4907	5552	2162
2360	Gyál	PE	Gyáli	25627	4	2493	24463	8347
2363	Felsőpakony	PE	Gyáli	06035	5	1533	3775	1316
2364	Ócsa	PE	Gyáli	04075	4	8166	9941	3584
2365	Inárcs	PE	Dabasi	32106	5	2253	4726	1750
2366	Kakucs	PE	Dabasi	32230	6	2179	3150	1145
2367	Újhartyán	PE	Dabasi	06293	4	2245	2832	1146
2370	Dabas	PE	Dabasi	09247	4	16599	17527	6875
2375	Tatárszentgyörgy	PE	Dabasi	27386	6	5506	1861	675
2376	Hernád	PE	Dabasi	09849	5	2706	4148	1573
2377	Örkény	PE	Dabasi	05281	4	3644	4870	1730
2378	Pusztavacs	PE	Dabasi	23083	6	7907	1290	551
2381	Táborfalva	PE	Dabasi	08332	5	4205	3350	1503
2400	Dunaújváros	FE	Dunaújvárosi	03115	3	5283	41873	23048
2421	Nagyvenyim	FE	Dunaújvárosi	26134	5	4368	4331	1587
2422	Mezőfalva	FE	Dunaújvárosi	17552	5	8042	4505	1840
2423	Daruszentmiklós	FE	Dunaújvárosi	34342	6	1912	1072	550
2424	Előszállás	FE	Dunaújvárosi	20358	5	3998	2419	947
2425	Nagykarácsony	FE	Dunaújvárosi	07001	6	3046	1308	593
2426	Baracs	FE	Dunaújvárosi	07047	6	5518	3469	1450
2428	Kisapostag	FE	Dunaújvárosi	12636	6	942	1431	619
2431	Perkáta	FE	Dunaújvárosi	19354	5	7452	3969	1533
2432	Szabadegyháza	FE	Gárdonyi	13259	6	4164	1987	798
2433	Sárosd	FE	Székesfehérvári	25140	5	4812	3179	1149
2434	Hantos	FE	Sárbogárdi	23427	6	3696	856	367
2435	Nagylók	FE	Sárbogárdi	32364	6	3244	988	457
2440	Százhalombatta	PE	Érdi	17312	4	2806	17856	7781
2451	Ercsi	FE	Martonvásári	23603	4	6531	8136	3099
2454	Iváncsa	FE	Dunaújvárosi	13462	6	2517	2765	1051
2455	Beloiannisz	FE	Dunaújvárosi	08466	6	454	997	443
2456	Besnyő	FE	Dunaújvárosi	16346	6	4464	1741	701
2457	Adony	FE	Dunaújvárosi	08925	4	6105	3974	1672
2458	Kulcs	FE	Dunaújvárosi	34209	6	1673	3589	1520
2459	Rácalmás	FE	Dunaújvárosi	09900	4	4064	4806	1877
2461	Tárnok	PE	Érdi	04154	5	2361	10526	3712
2462	Martonvásár	FE	Martonvásári	04659	4	3125	5936	2143
2463	Tordas	FE	Martonvásári	21005	6	1676	2305	741
2464	Gyúró	FE	Martonvásári	15918	6	2439	1336	510
2465	Ráckeresztúr	FE	Martonvásári	02015	6	3530	3562	1341
2471	Baracska	FE	Martonvásári	08581	6	3968	3049	1149
2472	Kajászó	FE	Martonvásári	21342	6	2403	1177	480
2473	Vál	FE	Martonvásári	05829	6	4048	2558	984
2475	Kápolnásnyék	FE	Gárdonyi	21926	6	4150	4060	1680
2476	Pázmánd	FE	Gárdonyi	21786	6	2715	2242	895
2477	Vereb	FE	Gárdonyi	03498	6	2232	821	318
2481	Velence	FE	Gárdonyi	25016	4	3337	7538	3578
2483	Gárdony	FE	Gárdonyi	10296	4	6353	13486	6324
2490	Pusztaszabolcs	FE	Dunaújvárosi	29018	4	5167	5764	2288
2500	Esztergom	KE	Esztergomi	25131	3	10010	28680	12391
2510	Dorog	KE	Esztergomi	10490	4	1154	11424	5205
2517	Kesztölc	KE	Esztergomi	29577	6	2200	2635	1069
2518	Leányvár	KE	Esztergomi	25487	6	725	1813	636
2519	Piliscsév	KE	Esztergomi	21874	6	2491	2535	979
2521	Csolnok	KE	Esztergomi	18926	6	1871	3079	1278
2522	Dág	KE	Esztergomi	22910	6	1189	931	408
2523	Sárisáp	KE	Esztergomi	26903	6	1422	2744	1094
2524	Nagysáp	KE	Esztergomi	27076	6	2478	1401	489
2525	Bajna	KE	Esztergomi	16744	6	3726	1867	779
2526	Epöl	KE	Esztergomi	29638	6	1252	623	269
2527	Máriahalom	KE	Esztergomi	22637	6	1084	663	282
2528	Úny	KE	Esztergomi	27632	6	1158	748	322
2529	Annavölgy	KE	Esztergomi	34227	6	483	860	390
2531	Tokod	KE	Esztergomi	14155	5	1491	4206	1638
2532	Tokodaltáró	KE	Esztergomi	34023	6	527	2993	1049
2533	Bajót	KE	Esztergomi	29355	6	1644	1616	551
2534	Tát	KE	Esztergomi	08758	4	1206	5239	2061
2535	Mogyorósbánya	KE	Esztergomi	28255	6	732	863	331
2536	Nyergesújfalu	KE	Esztergomi	15352	4	3964	7242	3300
2541	Lábatlan	KE	Esztergomi	15255	4	2637	4928	2105
2543	Süttő	KE	Esztergomi	08688	6	3446	1948	803
2544	Neszmély	KE	Tatai	33826	6	2772	1349	583
2545	Dunaalmás	KE	Tatai	33835	6	1483	1727	732
2600	Vác	PE	Váci	24934	4	6160	34040	15796
2610	Nőtincs	NO	Rétsági	29425	6	2047	1137	526
2610	Ősagárd	NO	Rétsági	19318	6	1092	295	161
2611	Felsőpetény	NO	Rétsági	24323	6	1450	536	264
2612	Kosd	PE	Váci	27687	6	3409	2470	917
2613	Rád	PE	Váci	02370	6	1774	1975	705
2614	Penc	PE	Váci	18689	6	2134	1544	562
2615	Csővár	PE	Váci	26985	6	1717	606	250
2616	Keszeg	NO	Rétsági	31413	6	995	725	310
2617	Alsópetény	NO	Rétsági	16425	6	1968	561	303
2618	Nézsa	NO	Rétsági	09797	6	1867	1199	495
2619	Legénd	NO	Rétsági	30395	6	1841	451	248
2621	Verőce	PE	Szobi	33729	6	2033	4159	1658
2623	Kismaros	PE	Szobi	33738	6	1196	2626	1016
2624	Szokolya	PE	Szobi	06947	6	5905	1965	789
2625	Kóspallag	PE	Szobi	24679	6	1277	722	310
2626	Nagymaros	PE	Szobi	31732	4	3437	5085	2300
2627	Zebegény	PE	Szobi	14960	6	963	1286	584
2628	Szob	PE	Szobi	24916	4	1797	2501	1096
2629	Márianosztra	PE	Szobi	04570	6	2027	932	376
2631	Ipolydamásd	PE	Szobi	28097	6	1158	416	184
2632	Letkés	PE	Szobi	22682	6	2456	1060	430
2633	Ipolytölgyes	PE	Szobi	04978	6	1367	384	125
2634	Nagybörzsöny	PE	Szobi	14775	6	5065	577	358
2635	Vámosmikola	PE	Szobi	10737	6	2527	1461	656
2636	Tésa	PE	Szobi	19248	6	438	90	44
2637	Perőcsény	PE	Szobi	04181	6	4136	354	229
2638	Kemence	PE	Szobi	22345	6	4275	888	537
2639	Bernecebaráti	PE	Szobi	18777	6	3769	791	465
2640	Szendehely	NO	Rétsági	04507	6	1004	1654	662
2641	Berkenye	NO	Rétsági	09034	6	1346	736	301
2642	Nógrád	NO	Rétsági	04358	6	2954	1625	735
2643	Diósjenő	NO	Rétsági	06743	6	5750	2888	1185
2644	Borsosberény	NO	Rétsági	09894	6	2026	871	381
2645	Nagyoroszi	NO	Rétsági	23986	6	4003	1961	840
2646	Drégelypalánk	NO	Balassagyarmati	08156	6	2218	1378	631
2647	Hont	NO	Balassagyarmati	13204	6	2410	526	307
2648	Patak	NO	Balassagyarmati	07199	6	1615	883	405
2649	Dejtár	NO	Balassagyarmati	12511	6	2142	1324	555
2651	Rétság	NO	Rétsági	23825	4	1981	2679	1171
2652	Tereske	NO	Rétsági	24174	6	1703	688	307
2653	Bánk	NO	Rétsági	24341	6	990	728	406
2654	Romhány	NO	Rétsági	12195	6	2547	2117	925
2655	Kétbodony	NO	Rétsági	11846	6	1305	441	238
2655	Kisecset	NO	Rétsági	33206	6	862	218	152
2655	Szente	NO	Rétsági	09043	6	753	293	160
2656	Szátok	NO	Rétsági	15325	6	895	560	167
2657	Tolmács	NO	Rétsági	06381	6	1221	697	343
2658	Horpács	NO	Rétsági	13718	6	672	157	97
2658	Pusztaberki	NO	Rétsági	17862	6	685	196	115
2659	Érsekvadkert	NO	Balassagyarmati	21582	6	5538	3415	1386
2660	Balassagyarmat	NO	Balassagyarmati	13657	4	2333	14036	6746
2660	Ipolyszög	NO	Balassagyarmati	01508	6	607	549	220
2668	Patvarc	NO	Balassagyarmati	33880	6	784	710	283
2669	Ipolyvece	NO	Balassagyarmati	29319	6	1383	755	352
2671	Őrhalom	NO	Balassagyarmati	03249	6	1746	1028	395
2672	Hugyag	NO	Balassagyarmati	16878	6	1090	868	326
2673	Csitár	NO	Balassagyarmati	05050	6	1685	370	193
2674	Iliny	NO	Balassagyarmati	26833	6	646	150	88
2675	Nógrádmarcal	NO	Balassagyarmati	29832	6	1993	445	199
2676	Cserhátsurány	NO	Balassagyarmati	22594	6	1880	682	365
2677	Herencsény	NO	Balassagyarmati	05324	6	3318	550	284
2678	Csesztve	NO	Balassagyarmati	20145	6	1625	336	179
2681	Galgagyörk	PE	Váci	13295	6	1472	937	342
2682	Püspökhatvan	PE	Váci	21388	6	2472	1354	501
2683	Acsa	PE	Váci	18573	6	2694	1297	475
2685	Nógrádsáp	NO	Rétsági	08387	6	1547	902	376
2686	Galgaguta	NO	Balassagyarmati	25663	6	1589	616	286
2687	Bercel	NO	Balassagyarmati	02389	6	3590	1747	712
2688	Vanyarc	NO	Pásztói	30915	6	3223	1130	499
2691	Nógrádkövesd	NO	Balassagyarmati	32300	6	899	606	293
2692	Szécsénke	NO	Balassagyarmati	23047	6	978	195	127
2693	Becske	NO	Balassagyarmati	12016	6	1566	484	282
2694	Cserháthaláp	NO	Balassagyarmati	21935	6	1047	356	172
2694	Debercsény	NO	Balassagyarmati	07320	6	543	91	52
2694	Magyarnándor	NO	Balassagyarmati	32407	6	1867	1030	464
2696	Terény	NO	Balassagyarmati	04844	6	2435	350	245
2697	Szanda	NO	Balassagyarmati	13754	6	2148	531	409
2698	Mohora	NO	Balassagyarmati	27915	6	1595	922	367
2699	Szügy	NO	Balassagyarmati	18786	6	1950	1413	517
2700	Cegléd	PE	Ceglédi	11341	4	24490	36344	16258
2711	Tápiószentmárton	PE	Nagykátai	14571	5	10291	5721	2517
2712	Nyársapát	PE	Nagykőrösi	20066	6	5403	2062	866
2713	Csemő	PE	Ceglédi	05184	6	7944	4414	1751
2721	Pilis	PE	Monori	09821	4	4735	11827	4765
2723	Nyáregyháza	PE	Monori	23038	5	3201	3798	1496
2724	Újlengyel	PE	Dabasi	19682	6	2625	1747	722
2730	Albertirsa	PE	Ceglédi	31653	4	7300	13533	5221
2735	Dánszentmiklós	PE	Ceglédi	31811	6	3800	2601	1066
2736	Mikebuda	PE	Ceglédi	24466	6	4217	668	313
2737	Ceglédbercel	PE	Ceglédi	20640	6	2815	4221	1698
2740	Abony	PE	Ceglédi	27872	4	12797	14622	5953
2745	Kőröstetétlen	PE	Ceglédi	32975	6	3265	715	329
2746	Jászkarajenő	PE	Ceglédi	11004	6	6515	2514	1381
2747	Törtel	PE	Ceglédi	22008	6	8416	4206	1817
2750	Nagykőrös	PE	Nagykőrösi	19716	4	22794	23052	10735
2755	Kocsér	PE	Nagykőrösi	32771	6	6728	1789	960
2760	Nagykáta	PE	Nagykátai	13435	4	8161	11985	4943
2764	Tápióbicske	PE	Nagykátai	15015	6	4848	3571	1507
2765	Farmos	PE	Nagykátai	09122	6	4012	3453	1563
2766	Tápiószele	PE	Nagykátai	14146	4	3699	5928	2365
2767	Tápiógyörgye	PE	Nagykátai	17303	6	5331	3493	1493
2768	Újszilvás	PE	Ceglédi	17808	6	3898	2612	1154
2769	Tápiószőlős	PE	Ceglédi	02769	6	3181	2887	1333
2800	Tatabánya	KE	Tatabányai	18157	1	9142	65874	31453
2821	Gyermely	KE	Tatabányai	06521	6	4547	1539	588
2822	Szomor	KE	Tatabányai	21421	6	1319	1093	403
2823	Vértessomló	KE	Tatabányai	15282	6	2229	1367	572
2824	Várgesztes	KE	Tatabányai	17251	6	1204	702	261
2831	Tarján	KE	Tatabányai	18935	6	4307	2756	1068
2832	Héreg	KE	Tatabányai	11891	6	2714	1063	457
2833	Vértestolna	KE	Tatai	29629	6	1695	571	267
2834	Tardos	KE	Tatai	30225	6	2332	1635	706
2836	Baj	KE	Tatai	29212	6	2112	2888	1673
2837	Vértesszőlős	KE	Tatabányai	31264	6	1712	3538	1427
2840	Oroszlány	KE	Oroszlányi	30766	4	7586	18064	8216
2851	Környe	KE	Tatabányai	30553	6	4537	4776	1837
2852	Kecskéd	KE	Oroszlányi	04525	6	1108	2095	751
2853	Kömlőd	KE	Oroszlányi	07630	6	2284	1094	394
2854	Dad	KE	Oroszlányi	33163	6	2375	973	373
2855	Bokod	KE	Oroszlányi	07311	6	2993	2082	811
2856	Szákszend	KE	Oroszlányi	33516	6	3593	1442	630
2858	Császár	KE	Kisbéri	16416	6	6781	1820	735
2859	Vérteskethely	KE	Kisbéri	32586	6	1746	542	243
2861	Bakonysárkány	KE	Kisbéri	25229	6	1412	963	390
2862	Aka	KE	Kisbéri	06682	6	1809	238	125
2870	Kisbér	KE	Kisbéri	17330	4	5216	5554	2267
2881	Ászár	KE	Kisbéri	23852	6	1868	1425	671
2882	Kerékteleki	KE	Kisbéri	10995	6	2945	614	278
2883	Bársonyos	KE	Kisbéri	08624	6	1687	690	306
2884	Bakonyszombathely	KE	Kisbéri	22381	6	3652	1305	602
2885	Bakonybánk	KE	Kisbéri	24244	6	1506	391	202
2886	Réde	KE	Kisbéri	30012	6	4587	1197	551
2887	Ácsteszér	KE	Kisbéri	18139	6	1771	658	239
2888	Csatka	KE	Kisbéri	33109	6	1777	236	177
2889	Súr	KE	Kisbéri	31990	6	3737	1234	500
2890	Tata	KE	Tatai	20127	4	7809	23881	10693
2896	Szomód	KE	Tatai	22619	6	2839	2304	899
2897	Dunaszentmiklós	KE	Tatai	24101	6	778	544	264
2898	Kocs	KE	Tatai	02510	6	5831	2635	1016
2899	Naszály	KE	Tatai	20163	6	3022	2369	894
2900	Komárom	KE	Komáromi	05449	4	6991	19652	8973
2911	Mocsa	KE	Komáromi	26930	6	6719	2108	826
2931	Almásfüzitő	KE	Komáromi	32346	6	818	2105	1119
2941	Ács	KE	Komáromi	04428	4	10385	6857	2783
2942	Nagyigmánd	KE	Komáromi	22372	5	5135	2702	1156
2943	Bábolna	KE	Komáromi	19363	4	3354	3431	1382
2944	Bana	KE	Komáromi	31422	6	2511	1505	578
2945	Tárkány	KE	Kisbéri	20987	6	6494	1413	608
2946	Csép	KE	Kisbéri	18272	6	2004	341	155
2947	Ete	KE	Kisbéri	06664	6	2062	581	243
2948	Kisigmánd	KE	Komáromi	20923	6	1314	470	200
2949	Csém	KE	Komáromi	33640	6	628	402	152
3000	Hatvan	HE	Hatvani	22309	4	6631	20480	9221
3009	Kerekharaszt	HE	Hatvani	34379	6	1436	973	338
3011	Heréd	HE	Hatvani	20242	6	1396	1784	795
3012	Nagykökényes	HE	Hatvani	24943	6	1728	553	262
3013	Ecséd	HE	Hatvani	17181	6	4160	3067	1405
3014	Hort	HE	Hatvani	04145	5	4309	3533	1596
3015	Csány	HE	Hatvani	16841	6	4789	2062	973
3016	Boldog	HE	Hatvani	03452	6	2674	2897	1158
3021	Lőrinci	HE	Hatvani	30401	4	2353	5491	2304
3023	Petőfibánya	HE	Hatvani	33686	6	1111	2434	1373
3031	Zagyvaszántó	HE	Hatvani	21722	6	952	1828	782
3032	Apc	HE	Hatvani	07241	6	2046	2441	1087
3033	Rózsaszentmárton	HE	Hatvani	27650	6	1631	1854	885
3034	Szűcsi	HE	Hatvani	09982	6	1738	1421	653
3035	Gyöngyöspata	HE	Gyöngyösi	08323	4	6075	2321	1041
3036	Gyöngyöstarján	HE	Gyöngyösi	28088	6	4639	2181	978
3041	Héhalom	NO	Pásztói	03993	6	1867	955	402
3042	Palotás	NO	Pásztói	05883	6	1707	1552	767
3043	Egyházasdengeleg	NO	Pásztói	17659	6	1574	392	214
3044	Szirák	NO	Pásztói	21634	6	1909	1084	427
3045	Bér	NO	Pásztói	32911	6	2549	376	203
3046	Kisbágyon	NO	Pásztói	27243	6	1024	405	195
3047	Buják	NO	Pásztói	14234	6	5304	1954	918
3051	Szarvasgede	NO	Pásztói	10199	6	999	401	207
3052	Csécse	NO	Pásztói	30270	6	2173	801	411
3053	Ecseg	NO	Pásztói	04251	6	2410	1175	512
3053	Kozárd	NO	Pásztói	13842	6	644	166	127
3060	Pásztó	NO	Pásztói	07409	4	7260	8545	4169
3063	Jobbágyi	NO	Pásztói	08712	6	1784	1891	820
3064	Szurdokpüspöki	NO	Pásztói	19044	6	2670	1758	892
3066	Bokor	NO	Pásztói	03841	6	675	87	66
3066	Cserhátszentiván	NO	Pásztói	32319	6	1066	108	114
3066	Kutasó	NO	Pásztói	19451	6	605	83	69
3067	Felsőtold	NO	Pásztói	33312	6	1083	130	103
3067	Garáb	NO	Pásztói	18494	6	820	50	38
3068	Mátraszőlős	NO	Pásztói	04330	6	2917	1450	663
3069	Alsótold	NO	Pásztói	07621	6	786	231	113
3070	Bátonyterenye	NO	Bátonyterenyei	33534	4	7892	11284	5739
3073	Tar	NO	Pásztói	32896	6	2734	1789	833
3074	Sámsonháza	NO	Salgótarjáni	24572	6	1271	243	152
3075	Kisbárkány	NO	Salgótarjáni	26295	6	803	136	101
3075	Márkháza	NO	Salgótarjáni	14641	6	631	221	110
3075	Nagybárkány	NO	Salgótarjáni	16391	6	884	647	242
3077	Mátraverebély	NO	Bátonyterenyei	30100	6	1840	1739	811
